,year,Ханты-Мансийский автономный округ - Югра (Тюменская область),Ямало-Ненецкий автономный округ (Тюменская область),Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),Республика Алтай,Республика Бурятия,Республика Тыва, Республика Хакасия,Алтайский край, Забайкальский край,Красноярский край,Иркутская область, Новосибирская область,Омская область,Томская область
0,2002,,,,,,,,,,,,,,
1,2004,,,,,,,,,,,,,,
2,2005,,,,,,,,,,,,,,
3,2006,,,,,,,,,,,,,,
4,2007,,,,,,,,,,,,,,
5,2008,,,,,,,,,,,,,,
6,2009,,,,,,,,,,,,,,
7,2010,"2228536,39","724074,4",,"123369,4","484863,1","72145,7","199672,2","725600,3","388529,1","1215284,4","1279836,5","1184190,3","452391,8","473174,4"
8,2011,"2040628,19","826791,3",,265508,"598606,1","60273,7","240483,9","847640,3","460323,1",1360547,1475211,"1572685,8","682851,5","493720,7"
9,2012,"2465505,6",942051,"1398139,4","269770,3","773250,8",74517,"246157,7","927587,9","860796,9","1575651,7","1633443,39","1955636,6","886018,9","501149,79"
10,2013,"2720895,1","905200,6","1646036,2","269770,3","791893,1",80108,220832,"888997,7","617958,1","1760334,49","1807069,9","2365089,29","1041200,4","491025,7"
11,2014,"2954950,8","871948,1","1642570,1","425207,4","733217,6","81551,4","386540,4","927467,7","642201,4","1777793,29","1689557,2","2344230,19","1070380,5","417181,4"
12,2015,"2515767,7","908662,89","1689217,5","720724,6","733627,8","80778,7",433603,"906521,7","535659,3",1650461,"1882464,6","1782228,9","1108145,6","535920,4"
13,2016,2442687,"1005690,2","1940716,3","1015143,3",769151,"71767,8","316888,1","1055559,6","645164,4","2054491,79","2275275,9","2771074,2","848321,3","705352,8"
14,2017,"2264695,5","1001489,7","1861785,79","624930,69","711432,8","79734,7","389030,1","1301872,39","595405,1","2332009,6","2549259,6","3117069,2","920007,7","721877,7"
15,2018,"2089543,19","1116225,6","2432762,4","682875,7","721899,3","91587,1","436645,69","1479714,4","658860,1","2777702,4","2854936,6","3376319,2","1202470,5","747416,6"
16,2019,"2282701,6","1388261,4","2537705,9","851700,69","825707,9","102238,6","428159,2","1526298,6","689552,4","2972394,2","3299993,2","3793406,9","1279288,1","845138,1"
