0,71401000000 Тюмень,71131000000 Ханты-Мансийск,84401000000 Горно-Алтайск,81401000000 Улан-Удэ,81420000000 Северобайкальск,93401000000 Кызыл,95401000000 Абакан,01401000000 Барнаул,04401000000 Красноярск,25401000000 Иркутск,32401000000 Кемерово,32449000000 Юрга,50401000000 Новосибирск,52401000000 Омск,69401000000 Томск
2002,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,
2007,,,,,,,,,,,,,,,
2008,,,,,,,,,,,,,,,
2009,,,,,,,,,,,,,,,
2010,"104,9","132,69","108,92","97,2","118,89","100,49","99,28","90,05","101,35","102,29","87,79","82,5","103,09","84,52","97,77"
2011,"105,76","130,95","103,3","98,36","118,81","100,39","99,12","88,94","101,78","100,97","86,87","84,74","102,43","83,09","97,85"
2012,"105,03","128,24","104,69","99,51","121,29","100,46","98,06","87,83","102,92","101,43","87,41","85,85","102,27","83,14","97,69"
2013,"103,86","126,12","104,09","97,93","118,92","99,39","100,55","88,29","103,95","101,66","89,75","87,46","103,11","84,12","98,08"
2014,"100,71","124,25","109,72","98,06","117,33","97,73","99,71","88,29","100,29","98,31","89,39","84,76","102,01","85,15","97,27"
2015,"100,36","121,62","110,16","98,58","114,3","97,88","95,63","88,55","100,13","98,96","89,07","83,55","102,33","85,31","97,02"
2016,"102,58","120,52","109,29","97,18","109,44","96,9","94,94","90,05","101,49","100,18","87,68","82,82",102,"85,26","97,17"
2017,"102,66","119,83","108,18","96,47","106,26","94,89","92,67","89,73","100,23","98,44","86,09","82,55","101,27","84,67","96,47"
2018,"102,4","118,08","104,81","97,23","109,32","95,29","93,56","90,13","99,3","97,73","85,62","84,4","99,31","85,19","96,8"
2019,"100,71","117,86","104,02","97,9","110,6","94,69","94,8","91,3","99,93","98,21","87,91","86,41","98,49","87,66","98,13"
