,year,71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область),71140000000 Ямало-Ненецкий автономный округ (Тюменская область),71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),84000000000 Республика Алтай,81000000000 Республика Бурятия,93000000000 Республика Тыва,95000000000 Республика Хакасия,01000000000 Алтайский край,76000000000 Забайкальский край,76100000000 Агинский Бурятский округ (Забайкальский край),04000000000 Красноярский край,04100000000 Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),04130000000 Эвенкийский автономный округ (Красноярский край),25000000000 Иркутская область,25100000000 Усть-Ордынский Бурятский округ,50000000000 Новосибирская область,52000000000 Омская область,69000000000 Томская область
0,2002,308,11,,14,102,11,143,228,333,0,736,0,0,500,0,306,325,"175,5"
1,2004,208,46,,341,188,17,194,305,410,,672,,,475,,499,414,225
2,2005,223,18,,23,195,29,53,375,492,9,651,,,"496,99",,625,424,245
3,2006,277,20,,18,213,16,35,435,474,27,593,,,511,,783,462,274
4,2007,361,53,,26,193,8,91,453,561,19,535,,,570,,848,503,381
5,2008,361,63,,75,237,15,86,479,552,,574,,,405,,875,475,323
6,2009,207,66,,103,198,33,70,413,494,,611,,,461,,"961,99",469,309
7,2010,345,98,,300,262,32,89,427,547,,836,,,506,,1186,508,381
8,2011,325,92,,212,238,37,80,455,491,,756,,,747,,1217,530,483
9,2012,436,60,,204,237,21,82,532,426,,943,,,580,,1277,602,439
10,2013,500,62,534,227,179,23,87,511,446,,1091,,,716,,1275,623,500
11,2014,553,64,588,181,201,34,88,465,386,,1030,,,628,,1176,673,516
12,2015,370,110,944,349,139,52,95,525,148,,803,,,520,,972,545,418
13,2016,,,,,,,,,,,,,,,,,,
14,2017,,,,,,,,,,,,,,,,,,
15,2018,,,,,,,,,,,,,,,,,,
16,2019,,,,,,,,,,,,,,,,,,
