,year,71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область),71140000000 Ямало-Ненецкий автономный округ (Тюменская область),71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),84000000000 Республика Алтай,81000000000 Республика Бурятия,93000000000 Республика Тыва,95000000000 Республика Хакасия,01000000000 Алтайский край,76000000000 Забайкальский край,04000000000 Красноярский край,25000000000 Иркутская область,50000000000 Новосибирская область,52000000000 Омская область,69000000000 Томская область
0,2002,,,,,,,,,,,,,,
1,2004,,,,,,,,,,,,,,
2,2005,,,,,,,,,,,,,,
3,2006,,,,,,,,,,,,,,
4,2007,,,,,,,,,,,,,,
5,2008,,,,,,,,,,,,,,
6,2009,,,,,,,,,,,,,,
7,2010,20519,1237,,7184,"26696,99",428,4432,25926,"215601,99",40621,44402,"140764,99",43610,"23344,99"
8,2011,"26776,99",1216,,4741,27095,662,4964,"28654,99",215714,48953,"71010,99","141962,99",41731,"27697,99"
9,2012,30207,5615,,9654,"37371,99",806,5898,"38598,99",210980,67610,"70116,99","145444,99",50451,25024
10,2013,36163,6857,"39823,99","13558,99",19900,1165,6355,"42021,99","264639,99","78458,99","89355,99",153550,"55169,99","37935,99"
11,2014,"37618,99",5664,34349,5633,20968,989,"6624,99","35385,99","119433,99",61407,"80309,99","124112,99",51012,"41458,99"
12,2015,16736,4316,33267,5923,24473,789,5734,"28460,99","77255,99",55116,46704,97179,41408,"30996,99"
13,2016,20550,3529,15723,8795,23886,592,"2957,99",25761,36693,45562,55322,"114702,99",27310,"21147,99"
14,2017,42539,3986,27938,5365,11879,1600,6888,39899,92967,55067,45642,"144203,99",35254,"21184,99"
15,2018,33817,5157,"36856,99",4812,"11871,99",1267,7216,"41143,99",147269,57164,"49506,99","110276,99","41170,99",25874
16,2019,35231,4515,"45245,99",7337,19254,1284,5997,42197,"99625,99",50360,"35442,99",91078,"46085,99",20966
