0,71100000000 Ханты-Мансийский автономный округ - Югра (Тюменская область),71140000000 Ямало-Ненецкий автономный округ (Тюменская область),71001000000 Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),84000000000 Республика Алтай,81000000000 Республика Бурятия,93000000000 Республика Тыва,95000000000 Республика Хакасия,01000000000 Алтайский край,76000000000 Забайкальский край,76100000000 Агинский Бурятский округ (Забайкальский край),04000000000 Красноярский край,04100000000 Таймырский (Долгано-Ненецкий) автономный округ (Красноярский край),04130000000 Эвенкийский автономный округ (Красноярский край),25000000000 Иркутская область,25100000000 Усть-Ордынский Бурятский округ,50000000000 Новосибирская область,52000000000 Омская область,69000000000 Томская область
2002,40,3,    ,4,8,3,7,44,15,0,37,0,0,50,0,50,58,45
2004,37,7,    ,23,21,6,8,56,20,    ,51,    ,    ,65,    ,72,83,54
2005,43,6,    ,12,23,8,13,76,31,2,59,    ,    ,90,    ,84,98,62
2006,48,7,    ,10,23,7,9,77,35,2,75,    ,    ,112,    ,108,106,66
2007,62,10,    ,7,28,5,17,87,38,2,77,    ,    ,130,    ,117,115,70
2008,67,16,    ,14,41,6,22,100,37,    ,97,    ,    ,95,    ,117,115,76
2009,51,7,    ,18,41,12,16,95,41,    ,111,    ,    ,126,    ,165,120,83
2010,88,8,    ,61,58,15,26,110,50,    ,145,    ,    ,145,    ,236,143,95
2011,96,8,    ,57,48,11,27,121,62,    ,170,    ,    ,207,    ,273,166,128
2012,114,18,    ,57,57,7,25,144,59,    ,283,    ,    ,158,    ,277,191,131
2013,148,25,174,60,42,9,31,147,65,    ,314,    ,    ,202,    ,283,209,139
2014,161,27,218,61,42,9,43,161,61,    ,335,    ,    ,182,    ,286,226,149
2015,118,26,218,79,51,9,43,167,26,    ,330,    ,    ,135,    ,268,206,116
2016,121,20,149,73,54,12,37,133,57,    ,343,    ,    ,197,    ,222,186,116
2017,149,22,216,29,43,14,49,155,45,    ,351,    ,    ,248,    ,327,220,133
2018,158,15,225,22,53,11,51,160,41,    ,363,    ,    ,251,    ,342,207,146
2019,153,29,237,24,54,7,41,164,33,    ,333,    ,    ,227,    ,286,220,108
