,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,11,3,,,,2002
1,,,,,17,6,,,,2004
2,,,,,29,8,,,,2005
3,,,,,16,7,,,,2006
4,,,,,8,5,,,,2007
5,,,,,15,6,,,,2008
6,,,,,33,12,,,,2009
7,"72145,7",15,33627,45010,32,15,,428,,2010
8,"60273,7",15,33819,61074,37,11,13826,662,,2011
9,74517,17,"36229,99",52955,21,7,"26896,5",806,,2012
10,80108,19,38298,59516,23,9,"34748,1",1165,,2013
11,"81551,4",17,25763,"60613,99",34,9,"30204,9",989,,2014
12,"80778,7",20,23485,50786,52,9,"13598,6",789,,2015
13,"71767,8",17,"18354,99",36835,,12,"22169,3",592,,2016
14,"79734,7",14,22889,43027,,14,"29121,4",1600,,2017
15,"91587,1",17,"20422,99",42735,,11,"25261,9",1267,,2018
16,"102238,6",16,24183,"49618,99",,7,"10340,7",1284,,2019
