,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению,Индекс стоимости жизни,year
0,,,,,,,,,,2002
1,,,,,,,,,,2004
2,,,,,,,,,,2005
3,,,,,,,,,,2006
4,,,,,,,,,,2007
5,,,,,,,,,,2008
6,,,,,,,,,,2009
7,,,,,,,,,,2010
8,,,,,,,,,,2011
9,"1398139,4",74,"385106,99",806084,,,,,,2012
10,"1646036,2",101,"401671,99","864815,99",534,174,"303289,8","39823,99",,2013
11,"1642570,1",107,"345848,99","879985,99",588,218,"374744,2",34349,,2014
12,"1689217,5",138,"349311,99","942451,99",944,218,"907328,1",33267,,2015
13,"1940716,3",148,400218,"957653,99",,149,"314154,9",15723,,2016
14,"1861785,79",162,"451007,99",913105,,216,"421480,8",27938,,2017
15,"2432762,4",169,"559528,99",1121993,,225,"572755,09","36856,99",,2018
16,"2537705,9",198,645375,1130379,,237,"672883,3","45245,99",,2019
